monthSales,originalPrice,praiseContent,price,productName,productSpuId,productStatus,promotionInfo,wmPoiId,city,province,store
0,8,赞0,8,妃子笑美人,200633654,0,,945396498098888,开原,辽宁省,渴了吧饮品屋（大厅店）
0,20,赞0,20,妃子笑荔枝 一斤,279440530,0,,1096592231808100,开原,辽宁省,杨威水果生鲜超市
39,22,赞1,22,妃子笑荔枝,1492187365,0,,856769847931995,海城,辽宁省,惠盈果蔬超市（祥圣店）
0,16,赞0,15.68,妃子笑芝芝,1144369253,0,9.8折,847990934775752,凤城,辽宁省,小确茶
0,16,赞0,16,妃子笑荔枝/500g 500g,1540071402,0,,856769847920160,凤城,辽宁省,天天水果超市
4,13,赞0,13,妃子笑 荔枝,1540120603,0,买1份赠1份老冰棍2个,1117392758377680,东港,辽宁省,大地水果超市（旗舰店二部）
0,6,赞0,6,妃子笑,1325601665,0,,901935723976370,东港,辽宁省,馨香坊水吧（千盛美食城店）
6,14.8,赞0,14.8,妃子笑,1521299745,0,,1055231696734337,大石桥,辽宁省,鸿鑫水果卖场
2,15.8,赞1,15.8,妃子笑荔枝 500g,1536093344,0,,971793367048079,大石桥,辽宁省,佳赢果优鲜蔬菜水果店（丰华伊嘉园店）
4,16.8,赞0,16.8,妃子笑荔枝-1斤,802112790,0,,980456316124371,大石桥,辽宁省,金赢水果批发卖场（水果捞）
1,11,赞0,11,百香妃子笑,1323870964,0,,1078536189297794,大石桥,辽宁省,遇见奶牛
5,12,赞0,12,荔枝妃子笑/斤,271540166,0,,1014768809806154,盖州,辽宁省,金凌百货超市
0,13.8,赞0,13.8,妃子笑荔枝（斤）,829110707,0,,933340524840323,盖州,辽宁省,乐活果园
11,10,赞0,10,妃子笑,720875013,0,,1070410111181195,盖州,辽宁省,港记茶橘铺
0,7,赞0,7,妃子笑气泡水,371943513,0,,955837563578093,盖州,辽宁省,茶品寿司（水吧）
0,6,赞0,6,妃子笑,357695473,0,,955837563578093,盖州,辽宁省,茶品寿司（水吧）
0,11,赞0,11,妃子笑荔枝/500g 500g,1544691311,0,,1040070462189085,盖州,辽宁省,福渔达水果蔬菜超市
11,25,赞0,25,妃子笑荔枝,1529490145,0,,853561507369482,凌海,辽宁省,四季水果
0,16,赞0,16,妃子笑,1128442957,0,,906033122794785,凌海,辽宁省,在云端
3,8,赞0,8,妃子笑,737508284,0,,928220923839968,凌海,辽宁省,EQ冰淇淋休闲厅
0,7,赞0,7,妃子笑,329928126,0,,1097932261613282,凌海,辽宁省,每日百分百鲜奶吧
0,6,赞0,6,妃子笑,454604518,0,,1029552087299265,凌海,辽宁省,思甜水吧（紫菜包饭）
16,20,赞0,20,妃子笑荔枝,1151489091,0,,965333736271236,凌海,辽宁省,小丰水果干果
2,25.8,赞0,25.8,新到特甜上等妃子笑荔枝,280226682,0,,865664725171850,北镇,辽宁省,天语超市（水果）
0,24.8,赞0,24.8,新到上等特甜小荷大肉妃子笑荔枝,289651526,0,,865664725171850,北镇,辽宁省,天语超市（水果）
0,4,赞0,4,妃子笑,300795960,0,,1099654543492093,北镇,辽宁省,联合果水果捞
24,22,赞0,22,妃子笑荔枝,847022869,0,,939473738191821,兴城,辽宁省,荣和果蔬坊
1,8,赞0,8,妃子笑,844091561,0,,1100474882251041,兴城,辽宁省,7果鲜饮创作（第七街三楼店）
